station	QoS	latitude	code	longitude	revision
Glogovac	acceptable	42.62833	XK	20.89389	05 Mar 2016
Hakodate	good	41.77583	JP	140.73667	09/09/2019, 00:00:00
Port Richmond	good	40.63316	US	-74.13653	09/22/2018, 00:00:00
Gainsborough	good	53.38333	GB	-0.76667	2016/06/01
Tharu Shah	good	26.9423	PK	68.11759	07/22/2020, 00:00:00
Igbara-Odo	good	7.50251	NG	5.06258	06/26/2017, 00:00:00
Chillum	excellent	38.96372	US	-76.99081	2017/06/24
Dax	good	43.71032	FR	-1.05366	2015-12-14
Pekanbaru	excellent	0.51667	ID	101.44167	05/14/2024, 00:00:00
Astara	acceptable	38.45598	AZ	48.87498	2023-01-10
Tarakan	maintenance	3.31332	ID	117.59152	26 Jan 2020
Qadirpur Ran	good	30.29184	PK	71.67164	2016/05/04
Leioa	excellent	43.32686	ES	-2.98884	2024-06-09
Shepetivka	excellent	50.18545	UA	27.06365	11/23/2024, 00:00:00
Darreh Shahr	excellent	33.14447	IR	47.3799	2021-01-17
El Alia	excellent	37.16911	TN	10.03478	11/23/2016, 00:00:00
Tornio	acceptable	65.84811	FI	24.14662	03/27/2022, 00:00:00
Yonkers	maintenance	40.93121	US	-73.89875	2019/07/26
Herblay	good	48.98994	FR	2.1699	2017/02/23
Chapletown	good	53.46506	GB	-1.47217	24 Aug 2019
Tchaourou	excellent	8.88649	BJ	2.59753	12/27/2015, 00:00:00
Tucano	good	-10.95817	BR	-38.79084	01/07/2023, 00:00:00
Bogovinje	good	41.92361	MK	20.91361	2024/12/08
Darreh Shahr	maintenance	33.14447	IR	47.3799	2018/08/18
Zgorzelec	good	51.14942	PL	15.00835	08 Jan 2018
Cowes	maintenance	50.76306	GB	-1.29772	22 Aug 2020
Suzaka	good	36.65	JP	138.31667	19 Apr 2024
Wheelers Hill	acceptable	-37.9	AU	145.18333	2016/11/21
Kenda	excellent	23.1959	IN	86.51499	09/03/2023, 00:00:00
Artur Nogueira	good	-22.57306	BR	-47.1725	07/18/2017, 00:00:00
Ciudad Guayana	good	8.35122	VE	-62.64102	09 Apr 2019
Rafiganj	excellent	24.81757	IN	84.63445	2016-05-27
Cordenons	good	45.9836	IT	12.70038	2016/09/27
Bavly	good	54.39304	RU	53.26023	22 Feb 2019
Afragola	excellent	40.92298	IT	14.30935	2018/10/31
Halstenbek	acceptable	53.63333	DE	9.85	2015-11-14
Toyokawa	excellent	34.81667	JP	137.4	2024-11-07
Pandua	excellent	23.07492	IN	88.28637	06/22/2018, 00:00:00
Gauting	good	48.06919	DE	11.37703	2022-01-02
Walton-on-the-Naze	good	51.84819	GB	1.26738	2018/01/12
Talipparamba	excellent	12.04161	IN	75.35927	06/27/2021, 00:00:00
Antipolo	good	14.62578	PH	121.12251	27 Dec 2018
Puertollano	good	38.68712	ES	-4.10734	2017-05-16
Longview	good	32.5007	US	-94.74049	2019-02-24
San Giuliano Milanese	good	45.39402	IT	9.29109	03/21/2017, 00:00:00
Paredes	acceptable	41.20485	PT	-8.33147	2024-03-07
Barra dos Coqueiros	good	-10.90889	BR	-37.03861	12 Mar 2017
Resplendor	maintenance	-19.32556	BR	-41.25528	2018/01/08
Kamakura	good	35.30889	JP	139.55028	15 Sep 2023
Mouscron	excellent	50.74497	BE	3.20639	28 Jul 2016
Bhayandar	excellent	19.30157	IN	72.85107	03 Sep 2017
Winsford	acceptable	53.19146	GB	-2.52398	2023-02-11
Paredes	excellent	41.20485	PT	-8.33147	2020/03/26
Peabody	good	42.52787	US	-70.92866	24 Sep 2021
Acaponeta	good	22.49396	MX	-105.36369	2025/06/07
Bonoua	good	5.27247	CI	-3.59625	03/15/2019, 00:00:00
Nanpiao	excellent	41.09822	CN	120.74792	2018/10/28
Mampong	good	7.06273	GH	-1.4001	2018/12/20
San Carlos	good	8.79577	CO	-75.69947	01/20/2017, 00:00:00
Yenagoa	excellent	4.92675	NG	6.26764	2022/11/05
Sainte-Catherine	good	45.40008	CA	-73.58248	09 Mar 2022
Artsyz	good	45.99194	UA	29.41824	2020/04/05
Parola	acceptable	20.88098	IN	75.11937	07/01/2025, 00:00:00
Campobasso	acceptable	41.55947	IT	14.66737	2017-11-15
Myawadi	excellent	16.68911	MM	98.50893	2023/12/28
Emmeloord	good	52.71083	NL	5.74861	2017-04-01
Porterville	acceptable	36.06523	US	-119.01677	2024-10-04
Friedberg	acceptable	48.35693	DE	10.98461	02/13/2018, 00:00:00
Chilibre	excellent	9.15093	PA	-79.62098	10/04/2022, 00:00:00
Marburg an der Lahn	good	50.80904	DE	8.77069	2021/12/28
Jagna	excellent	9.6531	PH	124.3697	09/01/2019, 00:00:00
Barras	good	-4.24444	BR	-42.29444	08/29/2021, 00:00:00
Tiruppuvanam	excellent	9.82564	IN	78.25795	17 Jun 2021
Arzamas	acceptable	55.39485	RU	43.83992	12/18/2019, 00:00:00
Amposta	excellent	40.70995	ES	0.57856	2015/12/09
Brzeg	good	50.86079	PL	17.4674	25 Feb 2024
Visitacion Valley	excellent	37.71715	US	-122.40433	2022/05/21
Hutchinson	excellent	38.06084	US	-97.92977	08/15/2024, 00:00:00
Eisen	good	36.82167	KR	128.63083	02/03/2016, 00:00:00
Kovylkino	good	54.03876	RU	43.91385	15 Jul 2023
Port Richmond	excellent	40.63316	US	-74.13653	2017/01/19
Porterville	excellent	36.06523	US	-119.01677	2025-01-01
Novara	good	45.44694	IT	8.62118	2024-04-29
Gua Musang	good	4.88441	MY	101.96857	2021/09/04
Srinagar	excellent	34.08565	IN	74.80555	28 Oct 2024
Kundla	excellent	21.34222	IN	71.30633	2019-07-27
Laguna Niguel	excellent	33.52253	US	-117.70755	2017-01-29
Puducherry	acceptable	11.93381	IN	79.82979	2023-12-27
Dehiwala-Mount Lavinia	acceptable	6.84019	LK	79.87116	12/30/2020, 00:00:00
Alwaye	good	10.10649	IN	76.35484	24 Nov 2018
Laguna Niguel	good	33.52253	US	-117.70755	2020-12-17
Jalal-Abad	excellent	40.93333	KG	73	11/22/2024, 00:00:00
Skalica	good	48.8449	SK	17.22635	2023-02-09
Saint-Genis-Laval	good	45.69558	FR	4.7934	08/16/2025, 00:00:00
Biu	good	10.61285	NG	12.19458	04/04/2024, 00:00:00
Madrid	acceptable	4.73245	CO	-74.26419	2019-04-19
Jindřichův Hradec	excellent	49.144482	CZ	15.006139	21 Aug 2025
Vernon	excellent	50.26729	CA	-119.27337	2016/01/16
Brenham	good	30.16688	US	-96.39774	12/30/2023, 00:00:00
Bogovinje	good	41.92361	MK	20.91361	04/25/2024, 00:00:00
Kundla	good	21.34222	IN	71.30633	2016/11/17
Ngemplak	acceptable	-7.54972	ID	110.71639	2020-03-26
Talence	good	44.80477	FR	-0.59543	01/17/2016, 00:00:00
Jersey City	good	40.72816	US	-74.07764	10 Mar 2016
San Gabriel	good	34.09611	US	-118.10583	2017/01/23
Gaziantep	good	37.05944	TR	37.3825	2015-12-04
Norwalk	excellent	41.24255	US	-82.61573	01 Jan 2025
Boo	excellent	59.33333	SE	18.28333	2022/06/03
Kolomyagi	excellent	60.02427	RU	30.28491	2024-11-28
Westchester	acceptable	41.85059	US	-87.882	2021/05/10
Minas de Marcona	excellent	-15.21194	PE	-75.11028	18 Apr 2022
Mexborough	good	53.49389	GB	-1.29243	2017/02/07
Bhuban	excellent	20.88197	IN	85.83334	31 Aug 2024
Dombivli	good	19.21667	IN	73.08333	03/07/2018, 00:00:00
Hakodate	good	41.77583	JP	140.73667	03/16/2022, 00:00:00
Hardenberg	excellent	52.57583	NL	6.61944	17 May 2017
Tharu Shah	good	26.9423	PK	68.11759	2021/12/24
Nyangao	maintenance	-10.33333	TZ	39.28333	2024-11-03
Independence	excellent	39.09112	US	-94.41551	19 Feb 2020
Shinshiro	good	34.9	JP	137.5	2018-08-26
Sector 6	excellent	44.43579	RO	26.01649	2021-01-05
Cuenca	good	-2.90055	EC	-79.00453	2023-09-06
Brunswick	good	43.91452	US	-69.96533	16 Jun 2021
Davis	acceptable	38.54491	US	-121.74052	28 May 2017
Dahlem	excellent	52.4581	DE	13.28702	09/21/2021, 00:00:00
Tadmur	excellent	34.5624	SY	38.28402	25 Nov 2021
Laiwu	good	36.19278	CN	117.65694	2019-06-06
Itacoatiara	acceptable	-3.14306	BR	-58.44417	13 May 2019
Amposta	good	40.70995	ES	0.57856	11/14/2024, 00:00:00
Iquitos	good	-3.74912	PE	-73.25383	2017/08/23
Mvomero	excellent	-6.25	TZ	38.66667	2016/05/18
Alatyr‚Äô	good	54.8421	RU	46.5813	2017-07-08
Kingston upon Hull	excellent	53.7446	GB	-0.33525	2017/03/20
Middle River	excellent	39.33427	US	-76.43941	09 Aug 2021
Nonoichi	good	36.53333	JP	136.61667	23 Mar 2021
Progreso	excellent	21.28306	MX	-89.66123	2018-09-03
Landshut	good	48.52961	DE	12.16179	2019-08-17
Tadmur	good	34.5624	SY	38.28402	10/18/2018, 00:00:00
Charlottenburg-Nord	maintenance	52.53048	DE	13.29371	07/18/2021, 00:00:00
Parkent	good	41.29444	UZ	69.67639	2016/02/03
Hutchinson	maintenance	38.06084	US	-97.92977	25 Aug 2025
Wittenau	maintenance	52.59319	DE	13.32127	26 Nov 2023
Magomeni	good	-6.8	TZ	39.25	2025/09/09
Tongelre	acceptable	51.44889	NL	5.51978	2017-09-28
Tonga	good	4.96667	CM	10.7	05 Jul 2022
Gronau	excellent	52.21099	DE	7.02238	10/31/2021, 00:00:00
Tongelre	good	51.44889	NL	5.51978	2018-11-01
Port Huron	good	42.97086	US	-82.42491	2022-12-27
Norwalk	good	41.24255	US	-82.61573	08/29/2024, 00:00:00
Kangayam	excellent	11.00599	IN	77.5609	2023/11/28
Jashpurnagar	excellent	22.88783	IN	84.13864	2020-07-28
Aykhal	good	65.93381	RU	111.4834	2020/08/11
Kati	acceptable	12.74409	ML	-8.07257	14 Feb 2021
Ilopango	excellent	13.70167	SV	-89.10944	05 Mar 2017
Strzelce Opolskie	good	50.5107	PL	18.30056	2017/03/11
Buenaventura	good	3.8801	CO	-77.03116	21 Apr 2020
Qadirpur Ran	excellent	30.29184	PK	71.67164	2023-05-19
Campobasso	good	41.55947	IT	14.66737	2018/11/02
El Achir	good	36.06386	DZ	4.62744	06/22/2024, 00:00:00
Magong	good	23.5654	TW	119.58627	2020/06/24
San Lorenzo Acopilco	good	19.32889	MX	-99.32556	06/10/2018, 00:00:00
Ikalamavony	excellent	-21.15	MG	46.58333	27 Jun 2018
Ajdabiya	good	30.75545	LY	20.22625	03/17/2021, 00:00:00
Nanpiao	excellent	41.09822	CN	120.74792	06/05/2024, 00:00:00
Pekanbaru	good	0.51667	ID	101.44167	2020/03/25
Kediri	excellent	-7.81667	ID	112.01667	05/27/2025, 00:00:00
Jiangyan	good	32.50611	CN	120.14278	2024/02/06
Same	excellent	-4.06667	TZ	37.73333	07/06/2016, 00:00:00
Nakhon Si Thammarat	good	8.43333	TH	99.96667	10/25/2021, 00:00:00
Smolyan	excellent	41.57439	BG	24.71204	09 Feb 2017
Caldas Novas	good	-17.74431	BR	-48.62789	12/07/2020, 00:00:00
Culemborg	excellent	51.955	NL	5.22778	2022-09-06
Kent	excellent	47.38093	US	-122.23484	2020-07-25
Tupi	excellent	6.33444	PH	124.95278	2021-10-21
Magong	excellent	23.5654	TW	119.58627	2017/01/28
Beryozovsky	good	56.9083	RU	60.8019	01 Apr 2023
Malden	good	42.4251	US	-71.06616	05/07/2024, 00:00:00
Strood	acceptable	51.39323	GB	0.47713	2021/12/05
Ponta Delgada	excellent	37.74615	PT	-25.66689	17 Feb 2022
San Juan	good	26.18924	US	-98.15529	2019/06/25
Sicklerville	good	39.71734	US	-74.96933	2023/09/17
Aracaju	good	-10.91111	BR	-37.07167	05 Aug 2023
Ambatondrazaka	good	-17.83333	MG	48.41667	2024-09-05
Croix-des-Bouquets	good	18.57677	HT	-72.22625	05 Dec 2021
Bridgeport	good	41.16704	US	-73.20483	2019/08/31
Petrozavodsk	good	61.78491	RU	34.34691	09 May 2023
Debre Tabor	good	11.85	ET	38.01667	13 Oct 2022
La Victoria	good	10.22677	VE	-67.33122	06/28/2024, 00:00:00
Pleasant Prairie	excellent	42.55308	US	-87.93341	2018-06-15
Pamiers	maintenance	43.11667	FR	1.6	2017-02-05
Cavaillon	excellent	43.83125	FR	5.03586	18 May 2021
Vryheid	good	-27.76952	ZA	30.79165	2017-11-08
Beaumont	good	33.92946	US	-116.97725	21 Dec 2015
Nyangao	maintenance	-10.33333	TZ	39.28333	05/05/2024, 00:00:00
Tortona	excellent	44.89784	IT	8.86374	15 Nov 2023
Uran	excellent	18.87813	IN	72.93924	05 Apr 2020
Tyler	excellent	32.35126	US	-95.30106	01 Jul 2019
Rosemount	excellent	44.73941	US	-93.12577	2022/11/22
Bobigny	good	48.90982	FR	2.45012	29 Jun 2018
Minas de Marcona	good	-15.21194	PE	-75.11028	2025/07/01
Caravaca	good	38.10558	ES	-1.86343	06 Apr 2024
Hutto	good	30.5427	US	-97.54667	2021/10/11
Tarakan	good	3.31332	ID	117.59152	09/09/2022, 00:00:00
Ozersk	maintenance	55.75556	RU	60.70278	06/18/2025, 00:00:00
Cardedeu	good	41.63976	ES	2.35739	09/12/2023, 00:00:00
Santa Catalina	good	9.3337	PH	122.8637	2023-02-01
Batu Feringgi	excellent	5.4709	MY	100.24529	09 Feb 2021
Tver	acceptable	56.85836	RU	35.90057	03/05/2018, 00:00:00
Mitry-Mory	good	48.98333	FR	2.61667	01/30/2023, 00:00:00
Middletown	excellent	41.54566	US	-71.29144	11/20/2019, 00:00:00
Opportunity	acceptable	47.64995	US	-117.23991	2025-07-20
Gaziantep	excellent	37.05944	TR	37.3825	2020/01/14
Beni Douala	excellent	36.61954	DZ	4.08282	2023-05-22
Nutley	acceptable	40.82232	US	-74.15987	19 Jun 2018
Brierley Hill	good	52.48173	GB	-2.12139	2024-03-20
Mikhaylovka	good	50.06	RU	43.2379	2024/08/31
Okegawa	good	36	JP	139.55722	08/02/2018, 00:00:00
Kirchlengern	excellent	52.2	DE	8.63333	05 Dec 2019
Vryheid	good	-27.76952	ZA	30.79165	05 Apr 2024
Keizer	good	44.99012	US	-123.02621	06/21/2018, 00:00:00
Manikchari	excellent	22.83957	BD	91.84128	03/24/2023, 00:00:00
Teziutlan	good	19.8173	MX	-97.35992	28 Jun 2018
Canton	excellent	42.30865	US	-83.48216	2016/10/16
Waverly	acceptable	42.7392	US	-84.62081	05/23/2021, 00:00:00
Meizhou	acceptable	24.28859	CN	116.11768	10/22/2020, 00:00:00
Bar-le-Duc	acceptable	48.77275	FR	5.16108	2016/03/03
Suzaka	good	36.65	JP	138.31667	2024-06-02
Zaozhuang	excellent	34.86472	CN	117.55417	05/08/2017, 00:00:00
Barinas	good	8.62261	VE	-70.20749	04 Nov 2019
Santa Cruz de Barahona	good	18.20854	DO	-71.10077	21 Jun 2023
Zaozhuang	excellent	34.86472	CN	117.55417	2024/03/22
Binnish	acceptable	35.95664	SY	36.7138	03/21/2023, 00:00:00
Beveren	good	51.21187	BE	4.25633	03/12/2023, 00:00:00
Bang Ban	excellent	14.37395	TH	100.48528	2020-03-30
Tornio	excellent	65.84811	FI	24.14662	2024/08/25
San Rafael	excellent	9.92787	CR	-84.13722	12/30/2018, 00:00:00
Nyahururu	good	0.03813	KE	36.36339	06/02/2017, 00:00:00
Frenda	excellent	35.06544	DZ	1.04945	02 Mar 2018
Punta Gorda Isles	good	26.91756	US	-82.07842	05/06/2016, 00:00:00
Cardedeu	good	41.63976	ES	2.35739	07 May 2025
Roslavl‚Äô	good	53.95278	RU	32.86389	25 Feb 2023
Pahrump	maintenance	36.20829	US	-115.98391	2017-09-21
Tucano	good	-10.95817	BR	-38.79084	21 Feb 2023
Exeter	acceptable	50.7236	GB	-3.52751	11/18/2019, 00:00:00
Culemborg	good	51.955	NL	5.22778	23 Mar 2021
Periyakulam	maintenance	10.12268	IN	77.54372	13 Apr 2025
Estelle	good	29.84576	US	-90.10674	2017-11-24
West Des Moines	excellent	41.57721	US	-93.71133	27 Jan 2018
Sirsi	good	14.62072	IN	74.83554	27 Sep 2017
Schleswig	good	54.52156	DE	9.5586	2017/02/09
Brazzaville	good	-4.26613	CG	15.28318	03/21/2019, 00:00:00
Igbara-Odo	good	7.50251	NG	5.06258	2024-05-05
Tarakan	good	3.31332	ID	117.59152	12/11/2020, 00:00:00
West Chester	good	39.96097	US	-75.60804	10 Feb 2018
Azrou	excellent	33.43443	MA	-5.22126	2019-02-10
Mirriah	maintenance	13.70727	NE	9.15013	2017/06/12
Camarillo	good	34.21639	US	-119.0376	17 Jul 2023
Longgang	excellent	37.65181	CN	120.33063	11/25/2015, 00:00:00
Kutná Hora	excellent	49.952431	CZ	15.268654	2018-09-24
Soledade	excellent	-28.81833	BR	-52.51028	2016-01-13
Searcy	good	35.25064	US	-91.73625	02 Mar 2020
Chapletown	excellent	53.46506	GB	-1.47217	2023-09-09
Arbroath	good	56.56317	GB	-2.58736	09/25/2021, 00:00:00
Milagro	acceptable	-2.13404	EC	-79.59415	2023/07/13
Villabate	good	38.07789	IT	13.44275	2017-10-02
Fresno	acceptable	29.53885	US	-95.44744	01/06/2024, 00:00:00
Carnegie	excellent	-37.88333	AU	145.06667	2017/02/11
Marseille 11	excellent	43.2907	FR	5.4384	2020-07-05
Visitacion Valley	excellent	37.71715	US	-122.40433	2017-01-02
Schwalmtal	good	51.21667	DE	6.26667	07/22/2023, 00:00:00
Schwalmtal	excellent	51.21667	DE	6.26667	19 Jan 2019
Keene	maintenance	42.93369	US	-72.27814	09/16/2017, 00:00:00
Glendale	excellent	34.14251	US	-118.25508	05/14/2025, 00:00:00
Crystal Lake	good	42.24113	US	-88.3162	06/29/2021, 00:00:00
Claremont	good	34.09668	US	-117.71978	2023/04/30
Esmeraldas	excellent	-19.7625	BR	-44.31389	2016/10/08
Hutchinson	excellent	38.06084	US	-97.92977	06/23/2021, 00:00:00
Siliana	excellent	36.08497	TN	9.37082	10/30/2018, 00:00:00
Jaruco	excellent	23.04419	CU	-82.00919	14 Apr 2016
Gorgonzola	maintenance	45.53069	IT	9.40531	2021/07/02
Narwar	excellent	25.6439	IN	77.9129	06 Mar 2018
Sa Dec	excellent	10.29085	VN	105.75635	2023/07/09
Sukabumi	excellent	-6.91806	ID	106.92667	2017/11/20
Lakota	good	5.84752	CI	-5.682	11/01/2024, 00:00:00
Reus	good	41.15612	ES	1.10687	05 Feb 2025
Bibiani	excellent	6.46346	GH	-2.31938	07/04/2019, 00:00:00
San Bernardo	good	-33.59217	CL	-70.6996	09 Mar 2023
Media Luna	excellent	20.14298	CU	-77.43532	2024-09-03
Isfahan	excellent	32.65246	IR	51.67462	2018-07-19
Kheda	acceptable	22.75218	IN	72.68533	03/11/2019, 00:00:00
Kidodi	excellent	-7.60361	TZ	37.00438	05 Jun 2024
Hudiksvall	good	61.72744	SE	17.10558	02 Apr 2023
Ambatondrazaka	good	-17.83333	MG	48.41667	04/10/2024, 00:00:00
Arzamas	good	55.39485	RU	43.83992	08 Apr 2025
Guyong	good	14.8361	PH	120.97844	2019/03/23
Kot Addu	good	30.46907	PK	70.96699	02 Mar 2022
Tornio	good	65.84811	FI	24.14662	2025-07-06
Ulu Tiram	maintenance	1.6	MY	103.81667	29 Mar 2021
Pedro II	acceptable	-4.42472	BR	-41.45861	2025/01/04
Onex	acceptable	46.18396	CH	6.10237	27 Feb 2024
Pottstown	good	40.24537	US	-75.64963	2025/04/09
Morningside Heights	good	40.81	US	-73.9625	2017/04/26
Cavaillon	excellent	43.83125	FR	5.03586	2021/01/05
Las Gabias	good	37.13548	ES	-3.67029	09/22/2019, 00:00:00
El Copey	good	10.15031	CO	-73.9614	09 Aug 2018
Huntley	good	42.16808	US	-88.42814	2016-11-03
Jaruco	excellent	23.04419	CU	-82.00919	2019-05-26
Baza	good	37.49073	ES	-2.77259	01/01/2024, 00:00:00
Cebu City	good	10.31672	PH	123.89071	08 May 2020
East Haven	excellent	41.27621	US	-72.86843	23 Aug 2022
Efon-Alaaye	acceptable	7.65649	NG	4.92235	2020/12/31
Rio Real	acceptable	-11.48472	BR	-37.93278	07/25/2021, 00:00:00
Palafrugell	acceptable	41.91738	ES	3.1631	02 Feb 2025
American Canyon	excellent	38.17492	US	-122.2608	2016-10-23
Schiebroek	excellent	51.95838	NL	4.47124	02/09/2025, 00:00:00
Darreh Shahr	good	33.14447	IR	47.3799	23 Apr 2019
Indio	excellent	33.7207	US	-116.21677	01 Oct 2015
Kismayo	good	-0.35817	SO	42.54536	01/17/2022, 00:00:00
Muskogee	good	35.74788	US	-95.36969	2025-03-02
Madhipura	acceptable	25.92127	IN	86.79271	10/14/2016, 00:00:00
Shreveport	excellent	32.52515	US	-93.75018	06/28/2025, 00:00:00
Front Royal	excellent	38.91817	US	-78.19444	06 Mar 2021
Malnate	good	45.79377	IT	8.88104	09/19/2023, 00:00:00
Mongo	excellent	12.18441	TD	18.69303	2019/03/07
Lagos	good	6.45407	NG	3.39467	2021-09-23
Gandia	excellent	38.96667	ES	-0.18333	02 Dec 2021
New Kingston	excellent	18.00747	JM	-76.78319	2021-08-25
Phanat Nikhom	good	13.44581	TH	101.18445	13 Jul 2025
Luena	good	-11.78333	AO	19.91667	2023/04/15
Les Olives	excellent	43.32393	FR	5.4584	2020-03-10
Tver	good	56.85836	RU	35.90057	05/24/2021, 00:00:00
Stupino	good	54.90083	RU	38.07083	2016/01/12
Likhobory	acceptable	55.85	RU	37.56667	01 Jan 2019
Kutná Hora	acceptable	49.952431	CZ	15.268654	2024/04/13
Oktyabr‚Äôskiy	maintenance	54.48147	RU	53.47103	14 Jan 2025
Dehiwala-Mount Lavinia	good	6.84019	LK	79.87116	15 Dec 2020
Jaworzno	good	50.20528	PL	19.27498	2021/07/26
Ushuaia	good	-54.8	AR	-68.3	29 May 2019
Thetford	good	52.41667	GB	0.75	2017/11/04
Jumilla	good	38.47917	ES	-1.325	2021/06/13
Pucheng	acceptable	27.92333	CN	118.53333	2025-06-13
Scarsdale	excellent	41.0051	US	-73.78458	2021/10/05
Woodlawn	good	39.32288	US	-76.72803	19 Sep 2019
Schiebroek	excellent	51.95838	NL	4.47124	2017/05/08
Grand Forks	good	47.92526	US	-97.03285	2019/06/24
Lompoc	good	34.63915	US	-120.45794	05/28/2016, 00:00:00
Shagamu	good	6.8485	NG	3.64633	04 May 2023
Media Luna	excellent	20.14298	CU	-77.43532	10/02/2022, 00:00:00
Gandia	acceptable	38.96667	ES	-0.18333	01/03/2022, 00:00:00
Tudela	good	42.06166	ES	-1.60452	2017-07-31
Deoli	maintenance	25.75728	IN	75.37991	2020/04/12
Glendale	good	34.14251	US	-118.25508	02 Jun 2023
Carlsbad	good	32.42067	US	-104.22884	28 Dec 2017
Diamond Harbour	good	22.19303	IN	88.18466	06/23/2017, 00:00:00
Wevelgem	excellent	50.8	BE	3.16667	2021/07/23
Acworth	good	34.06635	US	-84.67837	2022-04-09
Barmbek-Nord	maintenance	53.6052	DE	10.03988	2021/12/13
Tornio	excellent	65.84811	FI	24.14662	29 Jul 2022
Ishim	excellent	56.11281	RU	69.49015	2022-06-18
Brenham	good	30.16688	US	-96.39774	01/25/2022, 00:00:00
Trossingen	good	48.07667	DE	8.64409	03 Dec 2021
Clermont	good	28.54944	US	-81.77285	2018-01-14
Jizzax	good	40.11583	UZ	67.84222	27 Jun 2016
Kirchlengern	acceptable	52.2	DE	8.63333	07/23/2017, 00:00:00
Riverbank	maintenance	37.73604	US	-120.93549	16 Mar 2024
Griffith	excellent	-34.28853	AU	146.05093	2020-05-29
South Lawndale	acceptable	41.84364	US	-87.71255	27 Aug 2021
Jersey City	good	40.72816	US	-74.07764	2024/08/09
Contla	excellent	19.32932	MX	-98.1664	22 Oct 2020
Miracema	excellent	-21.41222	BR	-42.19667	2020-02-18
Rixensart	excellent	50.71229	BE	4.52529	2018/11/13
Izluchinsk	excellent	60.97944	RU	76.92421	04/23/2017, 00:00:00
Gates-North Gates	excellent	43.16547	US	-77.70066	12/06/2024, 00:00:00
Pleasant Prairie	acceptable	42.55308	US	-87.93341	01/20/2023, 00:00:00
Minas de Marcona	acceptable	-15.21194	PE	-75.11028	16 Jul 2025
Moga	excellent	30.81383	IN	75.16878	10/08/2016, 00:00:00
Paracho de Verduzco	good	19.64745	MX	-102.04897	02/20/2021, 00:00:00
El Achir	excellent	36.06386	DZ	4.62744	2019-06-08
Hrazdan	excellent	40.49748	AM	44.7662	2016-01-24
Heyuan	good	23.73333	CN	114.68333	06/19/2024, 00:00:00
Magong	acceptable	23.5654	TW	119.58627	08/22/2022, 00:00:00
Haicheng	good	40.85158	CN	122.74754	2016/12/14
